DATAFLOW,LAST UPDATE,freq,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,AT,2012,6313.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,AT,2013,6579.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,AT,2014,6893.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,AT,2015,6959.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,AT,2016,7267.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,AT,2017,7535.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,AT,2018,7617.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,AT,2019,5442.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,AT,2020,8271.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,BG,2012,1567.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,BG,2013,1840.1,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,BG,2014,1868.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,BG,2015,1832.4,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,BG,2016,1994.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,BG,2017,2212.2,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,BG,2018,2392.6,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,BG,2019,2628.5,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,BG,2020,2756.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,CH,2012,6311.8,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,CH,2013,5884.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,CH,2014,7746.0,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,CH,2015,14350.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,CH,2016,14296.3,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,CH,2017,14348.9,
ESTAT:EDUC_UOE_FINE09(1.0),31/07/23 11:00:00,A,EUR,ED0,CH,2018,14101.3,
