"Año","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre","Media"
1997,"4,8","8,6",12,"13,6","14,9","16,9","20,5","22,6","20,2","15,6","8,8","5,6","13,675"
1998,"6,2","8,1","11,1","9,5","14,3","19,4","22,4","23,2","18,6","12,3","7,6",3,"12,975"
1999,"3,8","5,3","8,6","11,3","16,2","19,4","23,4","22,1","18,3","13,3","5,6","4,6","12,6583333333"
2000,"1,9","8,3","9,3","9,3","15,6",20,"20,9","21,3","18,6","12,5","7,2","7,4","12,6916666667"
2001,"6,1","6,3","11,1","10,9","15,1",21,"21,4","22,8","17,4","14,6","5,9","1,3","12,825"
2002,"4,2","5,5","7,8","9,7","11,7","18,3","19,5","18,7","15,5","11,9","7,4","5,3","11,2916666667"
2003,"4,3","4,4","10,4","11,4","15,1","22,8","22,4",25,"19,4","11,8","8,6",5,"13,3833333333"
2004,"5,5","5,5","7,3","9,8","13,9","21,7","22,3","21,7","19,3","13,8","5,8","4,3","12,575"
2005,"2,2",3,"8,6","11,9","16,5","22,6","22,9","22,5","18,2",14,7,"4,1","12,7916666667"
2006,"2,9",4,"9,4","12,1",17,"21,4","24,7","20,8","19,8",15,"10,6",4,"13,475"
2007,"4,5","7,6","7,8",12,"14,7","17,9","21,5","20,6",18,"12,6","6,2","3,5","12,2416666667"
2008,"5,7","7,8",8,"11,2",14,"18,7","21,2","21,5","16,7","11,7","6,1","3,8","12,2"
2009,"3,6","5,8","9,4","10,3","16,6","20,7","22,6","23,6",19,"15,1","9,7","4,8","13,4333333333"
2010,"4,4","4,8","7,6","12,5","13,8","18,8",24,"22,9","18,7","12,4","6,7","4,2","12,5666666667"
2011,"5,1","6,5","8,8","14,9","17,3","19,6",21,"22,8","20,5","14,9","9,2","4,8","13,7833333333"
2012,"2,9","3,6","9,5","8,9","16,5","20,5","21,6","22,9","18,4","12,9","7,7","5,6","12,5833333333"
2013,"6,9","-1,4","10,5","10,9","17,5","22,5","19,6","17,9","17,4","13,9","13,57"
2014,"4,9","-2,4","6,5","12,9","18,5","23,5","22,6","20,9","12,4","10,9","13,07"
